id,link,spokesperson_en,question_en,answer_en,who_asked_en,spokesperson_cn,question_cn,who_asked_cn,answer_cn
20752,https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1764277.shtml,Hua Chunying,"Some officials in a handful of countries including the US have been trying to blame China for the pandemic outbreak, accusing China of covering up the actual caseload of the infected and disseminating disinformation on COVID-19. They also said that they will reckon with China after the pandemic passes. What is your response?","At present, COVID-19 is ravaging across the world, especially in Europe and the US. People of all countries have called for unity to fight the pandemic, but still some people have made jarring noises from time to time, quite discordant with the current atmosphere of unity against the pandemic. I want to stress a few points. As the coronavirus is novel virus unseen in the past, its detection, research, testing and confirmation naturally requires time. According to reports, on December 27, 2019, Zhang Jixian, director of the Department of Respiratory and Critical Care at Hubei Hospital of Integrated Traditional Chinese and Western Medicine, reported the first three suspected cases. On December 29, Hubei and Wuhan health committees instructed related centers for disease control and prevention and hospitals to carry out epidemiological investigation. On December 30 Wuhan Municipal Health Committee issued an ""urgent notice on the treatment of pneumonia of unknown cause"". On December 31, the NHC sent an expert group to Wuhan to investigate on site. On January 3, 2020, China started to send timely updates to WHO and other countries, including the US. On January 11, the Chinese Center for Disease Control and Prevention put online five whole genome sequences of the novel coronavirus and shared data with the world and WHO. On January 23, Wuhan was put under lockdown and unprecedented comprehensive, thorough and rigorous measures were taken. The Chinese government took decisive and strong measures at the earliest time possible and the Chinese people have been united as one in this fight against the pandemic, which ensured the life, safety and health of the Chinese people to the highest extent. WHO estimates that the decisive, effective and timely measures taken by the Chinese government prevented the infection of tens of thousands of people. Many countries also think China's practice offers explicable precedence. Our open, transparent and responsible attitude has been highly acclaimed by the international community. We have no intention to judge other countries' response to the pandemic. But while China set an example and bought precious time for the world with huge efforts and sacrifice, as WHO, foreign leaders, experts and media say, did a certain country make full use of the time to enhance preparedness? I think its government knows that very well, and its people can feel it too. Since January 3 China has been notifying the US of epidemic-related information on a regular basis. On January 7, the US CDC and its embassy in China issued warnings on traveling to Wuhan. On January 25, the US announced the decision to close its consulate in Wuhan and withdraw all staff. On February 2, the US government banned entry of all Chinese nationals and foreigners who had been to China in the past 14 days. Now so many days have passed, and some in the US still claim China should be held responsible for the COVID-19 in the US. Don't they feel guilty or ashamed? They are trying to shift the biggest blame of the century to China and make it the biggest scapegoat. However, such an attempt is just impossible as the blame is too heavy to be shifted. Sorry, it won't work. The pandemic is in some way like a magical mirror that exposes a person's morality and character to the fullest extent. The virus knows no ideology, border or race. The destinies of all countries are closely intertwined. No one can make up for lost time by slandering others or shifting the blame. The only way to defeat the virus is through solidarity and cooperation. At the G20 virtual summit last week, President Xi put forward propositions on overcoming the difficulties hand in hand. Upholding the vision of a community with a shared future for mankind, China would like to share our experience on COVID-19, conduct international cooperation, and provide as much help as we can to countries in need. That is what we say and what we do. We hope certain individuals will, like the CPC and the Chinese government, put people's life, health and safety first, abandon political bias and arrogance, and focus on international cooperation in pandemic response.",China Review News,华春莹,近期，美国等个别国家有官员将本国疫情暴发的责任“甩锅”给中国，指责中国隐瞒实际感染数量，传播新冠肺炎疫情的不实信息，试图让人们对美国处理这场危机的方式产生怀疑，还表示疫情结束后会和中国“清算”。发言人对此有何回应？,香港中评社,当前新冠肺炎疫情在世界范围蔓延扩散，特别是欧美一些国家形势严峻。各国人民一致呼吁要加强团结合作，共同应对疫情。但同时，就像你刚才讲的，有个别人不时发出一些刺耳声音，跟当前国际社会团结抗疫的气氛十分不和谐。我想强调几点：新冠肺炎病毒作为一种人类前所未见的新型病毒，从发现、研究、检测到确定都需要一定时间。据报道，2019年12月27日，湖北省中西医结合医院呼吸与重症医学科主任张继先第一时间上报了她接诊的3个可疑病例，29日湖北省和武汉市卫健委指示相关疾控中心和医院开展流行病学调查，30日武汉市卫健委发布关于《做好不明原因肺炎救治工作的紧急通知》，12月31日国家卫健委专家组抵达武汉开展现场调查。2020年1月3日中方开始正式向世卫组织以及包括美国在内的世界各国及时主动通报信息，11日中国疾控中心将5条新冠病毒全基因组序列上传网站，同全球和世卫组织共享数据，1月23日，中方采取了关闭离汉通道等空前全面、彻底和严格的措施。中国政府第一时间采取了果断有力的措施，全国人民团结一心、众志成城，最大程度地保护了中国人民的生命安全和身体健康。根据世卫组织评估，中国政府采取的果断、有力、及时措施，避免了数10万人感染。许多国家也都认为，中国的经验做法为其他国家提供了有益借鉴。中国政府秉持的公开、透明和负责任的态度，得到了国际社会的高度赞誉。我们无意评判其他国家应对疫情的表现，但是正如世卫组织和很多国家领导人及专家、国际媒体所说，中国此次疫情应对为世界争取了宝贵的时间。但有关国家到底有没有充分利用中国作出巨大努力和牺牲争取来的宝贵时间窗口期，我想相关国家政府是清楚的，人民也是能切身体会到的。就美国而言，1月3日中方就已经开始正式定期向美方通报分享有关信息。1月7日美国疾控中心和美国驻华使馆就已经发出了赴武汉旅行的健康警告，1月25日美方就宣布关闭驻武汉领馆并撤出其人员。2月2日美国政府就已经对所有中国公民和过去14天到过中国的外国人关闭边境。这么多天过去了，美方还有人在叫嚣，让中国为美国疫情负责，他们难道不心虚、不愧疚吗？这些人试图制造一只世界上最大的锅甩给中国，让中国成为最大的替罪羊。但是，这个锅太大了，对不起，他们甩不出去的。疫情是面照妖镜，人心善恶、品行高低尽显其中，一览无余。病毒不讲意识形态，也不分国家种族。面对疫情，各国命运与共，污蔑攻击、甩锅推责都弥补不了失去的时间，唯有加强团结合作，才能够尽快战胜疫情。在上周举行的G20特别峰会上，习近平主席就携手抗疫、共克时艰提出了中方倡议和主张。中方愿意秉持人类命运共同体理念，同各国分享防控有益做法，开展国际合作，并向有需要的国家提供力所能及的帮助。中方是这么说的，也是这么做的。希望有关人士能够像中国共产党和中国政府一样，把人民的生命和安全放在第一位，真正本着对本国人民生命和健康高度负责任的态度，抛开政治偏见和傲慢，把注意力放到加强国际合作、共同应对疫情上来
20753,https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1764277.shtml,Hua Chunying,"In a recent interview, White House trade adviser Navarro accused China of a cover-up that has set the world back six weeks, saying China saw human-to-human transmission cases as early as mid-December. I wonder if you have any comment?","The lies told by this US politician are not worth refuting. I noticed that during that interview, even the host interrupted him several times and pointed out he was wasting everybody's time. What is the truth? The truth is, since the epidemic broke out, we have always been open, transparent and responsible. We notified WHO and the international community of related information in a timely manner, shared genome sequencing findings of the virus at the earliest time possible, responded to other countries' concerns, conducted international cooperation and provided help to others. The sacrifice made by the Chinese people has bought valuable time for global anti-epidemic response. Since the beginning of January, China has been sending regular updates to WHO and other countries, the US included. How can the US politician allege that China's delay set the world back six weeks? What is his intention? He just wanted to muddy the water, shift the blame and undermine China-US cooperation as well as global cooperation in fighting COVID-19. No one with a sense of justice will fall for his words. We advise Mr. Navarro to try and grasp the gist of the phone call between Chinese and US presidents on March 27. He should stop smearing China and undermining China-US relations, and work to advance rather than harm the two peoples' interests.",CCTV,华春莹,据报道，美国白宫国家贸易和制造业政策办公室主任纳瓦罗不久前接受采访时称，中国12月中旬已出现新冠肺炎人传人疫情，中方隐瞒疫情使世界耽误了6周时间。中方对此有何评论？,中央广播电视总台央视,这个美国政客信口雌黄，不值一驳。我注意到连当时采访他的美国记者都打断他的话，指出他是在浪费时间。事实是什么？事实是，新冠肺炎疫情发生以来，中方始终本着公开、透明、负责任态度，及时向世界卫生组织以及国际社会通报疫情信息，包括第一时间分享病毒基因序列。我们还积极回应各方关切，开展国际合作，并向一些国家提供帮助。中国人民作出的巨大牺牲为全球抗疫赢得了宝贵时间。中方自1月初就开始向世卫组织和包括美国在内的各国定期通报疫情信息，何来耽误6周之说？这个美国政客的目的何在？他无非是想把水搅浑，转嫁责任，破坏中美抗疫合作，破坏全球抗疫合作。任何有是非观念、有正义感的人都不会上他的当。我们奉劝纳瓦罗多了解一下中美元首3月27日通电话的精神，停止诋毁中国、破坏中美关系的言行，多做有利于中美两国人民利益的事，而不是相反
20754,https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1764277.shtml,Hua Chunying,The US State Department Spokesperson said yesterday that Secretary Pompeo spoke with NATO Secretary General Jens Stoltenberg and discussed the importance of countering efforts by China to spread disinformation and propaganda related to the virus. I wonder if you have a comment?,"Since the epidemic broke out, China, in an open, transparent and responsible manner, has been providing timely updates to WHO and countries around the world including the US. We have also been doing our best to provide support and assistance to countries in need. All this has been widely applauded by the international community. Some US officials are accusing China of disinformation campaigns, I wonder if they could point out what information is not true? Were they referring to the effective containment China has achieved, or the assistance it has provided to other countries? As to how the US has been dealing with this crisis, there has been abundant media coverage in the US and the American people have seen it with their own eyes. The Chinese people are following with concern the development of the situation and sincerely hope the US will overcome the epidemic as soon as possible to safeguard American people's health and safety. After the outbreak, China has been racing against time to fight the virus and contain its spread. Even as we speak, many Chinese businesses are working around the clock to produce medical supplies and reinforce other countries' combat. We don't have the interest or the time to launch any despicable ""disinformation campaign"". President Xi Jinping, upon invitation, held a telephone conversation with President Trump last Friday. The two heads of state agreed that under current circumstances, China and the US should stand united and fight COVID-19. The remarks you mentioned clearly run counter to the consensus of the two leaders. We hope they will focus on containing the spread of the virus at home and contribute to China-US cooperation in responding to the pandemic.",Beijing Daily,华春莹,美国务院发言人30日称，蓬佩奥国务卿当日同北约秘书长斯托尔滕贝格通话，谈及反击中国传播与新冠病毒有关虚假信息和宣传活动的重要性。中方对此有何评论？,北京日报,"我刚才说了，新冠肺炎疫情发生以来，中方始终本着公开、透明、负责任态度，及时向世卫组织以及包括美国在内的有关国家通报疫情信息，尽己所能为有需要的国家提供支持和帮助,得到国际社会普遍赞誉。美方官员称中方发起虚假信息宣传，不知道能否明确指出哪些信息是虚假的？是中方的抗疫成效？还是中方向其他国家提供的支持和帮助？至于美方自己处理这场危机究竟怎样，美国国内有很多报道，美国人民也有切身体会。中国人民非常关注和担心美国疫情发展，我们真诚希望美方能够尽快战胜疫情，美国人民的生命安全和身体健康能够得到维护。疫情发生以来，中方与时间赛跑，与病毒抗争，坚决遏制疫情蔓延势头。现在，很多中国企业仍在争分夺秒、夜以继日生产医疗防疫物资，为世界其他国家抗击疫情提供物资保障。我们无心、无暇也不屑于发起所谓“虚假信息运动”。上周五，习近平主席应约同特朗普总统通了电话。两国元首一致认为当前情况下，中美应该团结抗疫。你提到的美方有些人的言论明显违背了两国领导人共识。希望他们能聚焦美国国内疫情防控，多做有利于中美合作抗疫的事情"
20755,https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1764277.shtml,Hua Chunying,A Japanese Maritime Self-Defense Force destroyer collided with a Chinese fishing boat in waters of the East China Sea on late March 30. Do you have more details on the incident?,"According to competent department, there was a collision around 19:30 yesterday in the East China Sea, east of Zhoushan, Zhejiang Province, involving a Chinese fishing boat and a Japanese SDF vessel. The collision damaged the Chinese fishing boat and caused lower back injury in one fisherman. China Coast Guard is still dealing with this on site as we speak. The cause of the collision is under investigation. I want to point out that the collision occurred in the coastal waters of China. The Chinese side has expressed concern to the Japanese side over the Japanese SDF warship sailing in the relevant waters and endangering the safety of the Chinese vessel. We are in communication with the Japanese side over this and hope they will cooperate to determine the cause as soon as possible and prevent such incidents from happening again.",Kyodo,华春莹,30号晚上，日本海上自卫队舰艇在东海海域与一艘中国渔船相撞，中方能否透露详细信息？,日本共同社,据向有关部门了解，昨天傍晚7：30左右，在中国浙江舟山以东东海海域发生了一艘中国渔船与日本自卫队舰艇擦碰事故，导致中国渔船受损，一名渔民腰部受伤。中国海警正在现场进行处理，事故原因正在进一步调查中。我想指出，事发海域位于中国近海，日本自卫队舰艇在有关海域活动并对中国船只航行安全造成影响，中方已就此向日方表明关切。目前中日双方正在就此保持沟通。我们希望日方积极配合，尽快查明事故原因，防止类似事件再次发生
20756,https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1764277.shtml,Hua Chunying,"As COVID-19 spreads all around the world, countries have an enormous need for N95 respirators and other medical supplies. Some people think China is hoarding medical products instead of assisting other countries. Do you have a comment on that?","That's not at all true. China's fight against COVID-19 isn't over yet. We are under heavy pressure to guard against imported cases and a rebound in indigenous cases, and so there is a huge demand for medical supplies. It is the government's top priority to prevent and control the epidemic at home and safeguard people's health. Ensuring the health of 1.4 billion Chinese people is in itself a great contribution to global public health security. That said, we are also providing medical supplies to countries in need. Here are some figures for you. First, the Chinese government has provided 120 countries and four international organizations with surgical masks, N95 respirators, protective suits, nucleic acid test kits, ventilators and other assistance. Second, local governments donated medical items to their sister cities in more than 50 countries. Chinese companies made donations to over 100 countries and international organizations. Third, some countries requested via diplomatic channels Chinese assistance in their commercial procurement, and we recommended qualified exporters for them. To date, 30 countries and two international organizations have signed purchase contracts with Chinese exporters on masks, protective suits, nucleic acid test kits, etc. Buyers from many other countries are also discussing procurement with Chinese enterprises. As our businesses resume work and production, I believe they will give more material support to the international community. The Chinese government will continue providing support and convenience for foreign procurement. We hope to see and welcome greater cooperation with foreign companies to help stabilize the global industrial chain of medical supplies. You mentioned there is now a great demand for N95 respirators in other countries, I think you all know that there is a shortage of them in China as well. We have been reserving them for frontline medical workers whose posts make them most vulnerable. The general public, including Chinese leaders, all wear ordinary masks, as I'm sure you've noticed in news footage.",China Daily,华春莹,新冠肺炎疫情正在全球迅速蔓延，各国对N95口罩等防疫物资需求很大。有人认为中国正在囤积防疫医疗物资，没有为世界其他国家提供及时帮助，请问你对此有何评论？,中国日报,这个说法我完全不同意。当前，中国的疫情并没有结束，外防输入、内防反弹的压力很大，对相关医疗物资的需求也很大。做好国内防控、保护人民群众身体健康是中国政府的首要责任。把14亿中国人民保护好，本身就是对全球公共卫生安全的巨大贡献。与此同时，我们也在积极为有需要的国家提供防疫物资，我这里有几组数据可以说明。第一，中国政府已向120个国家和4个国际组织提供了包括普通医用口罩、N95口罩、防护服、核酸检测试剂、呼吸机等在内的物资援助。第二，中国地方政府已通过国际友好城市等渠道向50多个国家捐赠医疗物资。中国企业向100多个国家和国际组织捐赠了医疗物资。第三，有些国家通过外交渠道向中方提出了商业采购协助请求，中方向他们推荐了有资质的出口商。已有30个国家和2个国际组织同中方出口商签署了包括口罩、防护服、核酸检测试剂在内的商业采购协议。还有很多国家的采购商正同中国企业进行洽谈。我相信，随着中国企业复工复产，中国企业将为国际社会应对疫情提供更多的物资支持。中国政府也会继续为各国来华采购提供支持和必要便利。我们也希望和欢迎各国企业加强合作，共同维护全球医疗物资产业链的稳定。另外我还想补充一句，你刚才提到各国对N95口罩需求很大，的确在中国N95口罩也是紧缺物资，我们把N95口罩都留给了那些战斗在最危险岗位、最容易受感染的医护人员。其他人，包括大家从电视上可以看到，中国领导人戴的都是普通口罩
20757,https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1764277.shtml,Hua Chunying,"According to reports, four Chinese students in Spain were confirmed to have contracted COVID-19. How has the Chinese embassy in Spain been helping them? How are these students now?","The CPC Central Committee attaches great importance to and cares deeply about the health and safety of Chinese citizens overseas. Our diplomatic missions overseas have been in close contact with the students in their host countries. After four Chinese students were infected, our embassy in Spain and consulate-general in Barcelona have been closely following their conditions. They urged the Spanish side to ensure they are receiving all medical treatment they need, and also brought in Chinese doctors to offer advice online. We will continue to watch over them and offer every assistance possible.",China Radio International,华春莹,据报道，有4名在西班牙的中国留学生已确诊新冠肺炎。请问这4名学生目前情况如何？中国驻西班牙使馆为他们提供了哪些帮助？,中央广播电视总台国广,党中央高度重视和关心海外中国留学人员的健康和安全。驻外使领馆一直同当地中国留学生保持密切联系。在西班牙有4名中国留学生感染了新冠肺炎后，驻西班牙使馆和驻巴塞罗那总领馆非常关心，密切关注，一直敦促当地医院和有关部门给予全力周到救治，并安排国内主治医生通过网络渠道为他们提供专业咨询。我们将继续密切关注，全力提供医疗等各方面协助
20758,https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1764277.shtml,Hua Chunying,US President Donald Trump said that China has sent some medical supplies to the US to help fight COVID-19. Can you confirm this information and share some more details?,"As I just said, President Xi Jinping held a telephone conversation with President Trump last Friday. President Xi said that the Chinese people sincerely hope that the US will contain the spread of the pandemic at an early date and minimize its impact on the American people. Under the current circumstances, China and the US should unite in the fight against the virus. Health departments and epidemic experts of the two sides have all along been in communication. Last night, Minister Ma Xiaowei of China's National Health Commission and US Secretary of Health and Human Services Alex Azar spoke over the phone to exchange ideas on the two countries' pandemic prevention and control efforts. Some provinces and cities and local businesses have already donated medical supplies to the US side. We have noted that some US media have reported that a commercial charter flight has taken a batch of epidemic control materials it purchased from China to the US. China understands the current difficulties the US is facing and stands ready to offer support within our capability. We also hope that some US officials will act in accordance with the consensus reached between the two heads of state by phone and work to create enabling conditions for the two sides' joint fight against the pandemic.",RIA Novosti,华春莹,美国总统特朗普表示中方向美方运送了一些医疗物资，帮助美方抗疫。中方能否证实并介绍具体情况？,俄新社,我之前介绍过，上周五习近平主席同特朗普总统通了电话。习主席表示，中国人民真诚希望美国早日控制住疫情蔓延的势头，减少疫情给美国人民带来的损失。当前情况下，中美两国应该团结抗疫。中美两国的卫生部门和防控专家一直在保持着沟通。昨天晚上，中国国家卫健委主任马晓伟同美国卫生与公众服务部部长阿扎通了电话，就两国疫情的防控进展交换意见。中国一些省市和企业也向美方提供一些医疗物资援助。我们注意到美国媒体报道称，美方日前已经从中国采购了一批防疫物资，并且通过商业包机运抵美国。我们理解美方当前的困难处境，愿继续提供力所能及的支持。同时，我们也希望美方一些官员能够落实好两国元首通话精神，为两国开展抗疫合作多创造有利条件。
20835,https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1768338.shtml,Zhao Lijian,"At present, the pandemic is fast spreading and the world is short of medical supplies. Many countries are seeking help from China. Could you tell us what help China has provided?","With the vision of a community with a shared future for mankind, China has provided support and assistance to the international community within its capacity while continuing to do a good job in epidemic control at home. So far, the Chinese government has provided or is providing supplies to 127 countries and four international organizations, including surgical masks, protective gears and testing reagents. China donated $20 million to the WHO, sent 13 medical teams to 11 countries and held over 70 video conferences with experts from more than 150 countries and international organizations. Localities, enterprises and civil groups in China also donated medical supplies to more than 100 countries, regions and international organizations. Some countries asked China for assistance in commercial procurement through diplomatic channels, and we recommended exporters to them. China's Ministry of Commerce also published a list of manufacturers certified by regulatory authorities and facilitated the customs clearance of supplies in compliance with regulations. As of April 8, 58 countries and regions as well as four international organizations have signed contracts on commercial procurement of medical supplies with Chinese businesses, and another 71 countries and ten international organizations are in talks for such purchase. There are other foreign buyers cooperating with Chinese companies, too. I'd like to share some more details with you. According to statistics from Chinese customs, from March 1 to April 4, China exported RMB 10.2 billion worth of anti-epidemic supplies, including 3.86 billion masks, 37.52 million protective gears, 2.41 million infrared thermometers, 16,000 ventilators, 2.84 million testing kits and 8.41 million protective goggles. China will continue to work with other countries and overcome difficulties with mutual assistance to safeguard international public health security.",CCTV,赵立坚,当前，新冠肺炎疫情快速蔓延，全球医疗物资紧缺，很多国家向中国寻求帮助，请介绍一下中国都提供了怎样的帮助？,中央广播电视总台央视,中方秉持人类命运共同体的理念，在继续做好本国疫情防控的前提下，在力所能及的范围内向国际社会提供了支持和帮助。截至目前，中国政府已经或正在向127个国家和4个国际组织提供包括医用口罩、防护服、检测试剂等在内的物资援助。中国还向世卫组织捐助2000万美元，累计向11国派出13批医疗专家组，同150多个国家以及国际组织举行了70多场专家视频会。中国地方政府、企业和民间团体已向100多个国家和地区以及国际组织捐赠了医疗物资。有些国家通过外交渠道向中方提出了商业采购协助的请求，中方向他们推荐了出口商，中国商务部还公布了监管部门认证的医疗物资生产企业名录，为合规物资的清关提供了便利。截至4月8日，已经有58个国家和地区以及4个国际组织与中国企业签署了医疗物资商业采购合同，还有71个国家和10个国际组织正在与中国企业开展商业采购洽谈。此外，还有其他的国外采购商与中国企业通过各种渠道开展合作。我还可以给你提供一些更详细的数字：根据中国海关统计，从3月1日到4月4日，中国出口主要防疫物资102亿元，主要包括口罩约38.6亿只，防护服3752万件，红外测温仪241万件，呼吸机1.6万台，新冠病毒检测试剂284万盒，护目镜841万副。中方将继续同各国守望相助、同舟共济，共同维护国际公共卫生安全
20836,https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1768338.shtml,Zhao Lijian,"The US State Department spokesperson said on April 9 that the US is ""deeply disturbed that Taiwan's information was withheld from the global health community, as reflected in the WHO's January 14 statement that there was no indication of human-to-human transmission."" She also claimed that ""the WHO once again chose politics over public health,"" and the WHO's actions ""cost time and lives."" What is your comment?","I responded to a similar question yesterday. Since the US has refused to let go of this issue and kept trying to confuse public opinion on it, I would like to make a few more comments. First, the novel coronavirus is a novel virus, which means it takes time for us to research it, know it and draw conclusions accordingly. This is a science-based process. On January 20, a high-level expert group of the National Health Commission of China announced the confirmation of human-to-human transmission. The WHO sent a team on a field trip to Wuhan from January 20 to 21. Dr. Gauden Galea, WHO Representative in China, said on January 21 that the latest information showed that the virus has been passed to some extent from person to person. We can see that at the earliest time possible, the WHO released authoritative information based on China's confirmation of ""human-to-human transmission"" and its field visits. In fact, no responsible countries or organizations will jump to conclusions without sufficient and valid evidence. Second, the US claims that the international community failed to get information from the Taiwan region. This is not true. As people in the Taiwan region share a bond of kinship with us, no one cares more about their health and well-being than the Chinese central government. After the epidemic broke out, the National Health Commission of China promptly informed the Taiwan region of the situation. In mid-January, at the request of the relevant departments in the Taiwan region, experts from the Taiwan region paid a field visit to Wuhan and had discussions with mainland experts. Taiwan medical experts expressed sincere thanks to the mainland for the reception. WHO is a specialized UN agency composed of sovereign states. Taiwan's participation in the activities of WHO and other international organizations needs to be arranged in a reasonable and appropriate manner after cross-straits consultations under the one-China principle. According to the agreement reached between China and the WHO, there is an International Health Regulations Contact Point in the Taiwan region, so it can obtain timely information on global public health emergencies released by the WHO, and report its public health emergency information to the WHO in a timely manner as well. Health experts from the Taiwan region can attend WHO technical meetings, and WHO experts can visit the Taiwan region if necessary for field trips or to provide assistance. These arrangements ensure that the Taiwan region can respond to public health emergencies in a timely and effective manner wherever these emergencies occur. Third, since the outbreak of COVID-19, the WHO has been holding an objective, scientific and impartial position, performing its duties, and making enormous efforts to assist countries in response to the pandemic and to promote international cooperation, which has been widely recognized and highly praised by the international community. The US State Department Spokesperson made fact-distorting comments to shift the blame, which won't be helpful to ease the current situation in the US or to facilitate international anti-epidemic cooperation. Her words will only damage the credibility, image and interests of the US. We urge the US side to respect the facts and international public opinion, and focus on containing the epidemics at home. China will, as always, firmly support the WHO in fulfilling its duties and leading global anti-epidemic cooperation.",China Daily,赵立坚,美国国务院发言人9日称，世卫组织在今年1月14日的声明中表示，新冠肺炎疫情没有人传人的迹象，国际社会未能得到台湾方面的信息，美对此深感不安。世卫组织又一次将政治凌驾于公共卫生之上，这一行动付出了时间和生命的代价。中方对此有何评论？,中国日报,我昨天已经就相关问题作出过回应。既然美方最近在这个问题上反复纠缠、混淆视听，我愿再作几点回应：第一，新冠病毒对人类来说是一种全新的病毒，有一个认识和研判的过程，这是符合科学规律的。1月20日，中国国家卫生健康委高级别专家组对外通报，确认有人传人的现象。1月20日至21日，世卫组织派团对武汉进行了考察，世卫组织驻华代表高力博士21日表示，最新信息显示，新冠病毒已经存在一定程度的人传人现象。可以说，世卫组织在中方对外确认出现人传人现象并进行实地考察的基础上，第一时间发布了权威信息。任何一个负责任的国家或机构都不会在不掌握充分、有效证据的情况下就贸然下结论。第二，美方称国际社会未能得到台湾方面的信息，这种说法不符合事实。台湾同胞是我们的骨肉同胞，没有人比中国中央政府更关心台湾同胞的健康福祉。疫情发生后，中国国家卫生健康委及时主动向台湾地区通报疫情信息。1月中旬，应台湾地区相关部门请求，台湾地区医疗专家到武汉进行了实地全面考察，并同大陆专家进行了交流。台湾地区医疗专家对大陆方面的接待表达了由衷感谢。世卫组织是由主权国家组成的联合国专门机构，台湾参与世卫组织等国际组织活动，必须在一个中国原则下通过两岸协商作出合情合理安排。根据中方同世卫组织达成的安排，台湾地区设有《国际卫生条例》联络点，能够及时获取世卫组织发布的全球突发公共卫生事件信息，台湾地区发生的突发公共卫生事件信息也能够及时向世卫组织通报。台湾地区的医疗卫生专家可以参加世卫组织相关技术会议，有需要时世卫组织专家可赴台湾地区进行考察或提供援助。这些安排都确保了无论是岛内还是国际上发生突发公共卫生事件，台湾地区都可以及时有效应对。第三，新冠肺炎疫情发生以来，世卫组织始终秉持客观科学公正立场，积极主动履行自身职责，为协助各国应对疫情、推动国际抗疫合作做了大量工作，得到了国际社会普遍认可和高度赞誉。美国国务院发言人有关说法违背事实、颠倒黑白，完全是出于政治动机，企图转移视线、转嫁矛盾，这无助于缓解美国当前的疫情，也不利于国际抗疫合作，损害的只能是美国自身的信誉、形象和利益。我们奉劝美方尊重客观事实，尊重国际公论，把精力用到本国疫情防控上。中方将和国际社会一道，一如既往坚定地支持世卫组织工作，支持世卫组织在全球抗疫合作中继续发挥领导作用
20837,https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1768338.shtml,Zhao Lijian,The US has threatened to cut off China Telecom from serving the US market because of legal and security risks. What's China's response?,"We noted relevant reports and are firmly opposed to it. The Chinese government asks Chinese enterprises to abide by local laws and regulations and follow market principles when carrying out economic cooperation. We urge the US side to keep to the principles of market economy, stop abusing the concept of national security and politicizing economic issues, and stop wantonly oppressing Chinese companies. It should foster a fair, unbiased and non-discriminatory environment for Chinese companies investing and operating in the US.",AFP,赵立坚,据报道，由于存在法律和安全风险，美方威胁将撤销中国电信在美营运国际通信服务许可。你对此有何评论？,法新社,中方注意到有关报道，对此坚决反对。中国政府一贯要求中国企业在依法合规的基础上按照市场原则开展对外经济合作，同时也要求他们遵守当地法律法规。我们敦促美方遵守市场经济原则，停止将国家安全泛化、将经济问题政治化的错误做法，停止对中国企业的无理打压，为中国企业赴美投资经营提供公平、公正、非歧视的环境
